gene_ID	protein	rna	protein_degradation	rna_hl	translation
rna4	3234	1068179.40023831	295248	0.0106489287	893.8873299625
rna8	3887	15067.1182039298	34.6658	0.0633113373	8.9430482177
rna21	1520	56557.3461145356	71.7153	0.021134605	1.9273757255
rna30	2678	3517716.81139877	158528	0.0119120397	120.6856625367
rna50	3365	37229.6190001766	21.7467	0.0340604457	1.9655759974
rna58	3449	19243.8898016582	5.74103	0.0210414003	1.0289402337
rna67	3575	156286.804523246	25.5537	0.037803224	0.5845309703
rna69	3617	14360.637984572	15.2547	0.0304938721	3.8421865351
rna71	3651	245281.531605456	80.1253	0.014255814	1.1926599952
rna72	3665	17242.1093610814	20.7354	0.0236836574	4.4075373499
rna76	3735	1341.7802611792	5.09016	0.0314972402	14.1690470117
rna89	3936	66035.183401041	33.4346	0.0244377738	1.9928556085
rna93	3984	25725.4839591885	17628	0.0156087094	2729.9759301483
rna106	4195	13477.0150855579	19224	0.0263381126	5983.868051496
rna110	42	11583.8046530336	7.76346	0.0207709693	0.0281483787
rna123	131	26397.9292426932	13.5572	0.0207926319	0.0672777468
rna124	150	610258.955510072	69.3759	0.0141771843	0.0170524085
rna130	236	13374.3068958529	73.4092	0.0230623155	1.2953621698
rna144	401	7621.2364022747	21.3972	0.0292378737	1.1258379543
rna149	440	2793.4025534366	7.95008	0.0458918004	1.2522488732
rna151	485	15201.6797692804	47.0695	0.0366586053	1.5017226942
rna161	631	8069.9957524127	31.9004	0.039255987	2.4943200737
rna167	693	47449.8245777001	72.3283	0.0265594542	1.0563476756
rna171	768	19791.6133777435	16.1669	0.0257461931	0.6273454803
rna220	1371	1719.0697240443	102001	0.0345598991	81348.2833442041
rna225	1454	12736.3623141469	44.1989	0.002896006	5.0458049963
rna227	1480	10000.8087638936	26.5634	0.0168817126	3.9310652696
rna234	1598	22305.5689747085	120528	0.2037384934	8634.7828301707
rna235	1616	168302.938957676	48.9296	0.0228888068	0.469808989
rna239	1676	53287.2730597805	98.4945	0.0248089491	3.0978650721
rna241	1692	5583.8909407867	5.37377	0.0166766167	1.6283303052
rna246	1774	25330.9951104145	47.8119	0.0257039013	3.3484002595
rna253	1880	2227.0051825495	35.7655	0.0426921901	30.1926284352
rna268	2130	12713.5712271282	37.4284	0.049214346	6.2706607432
rna275	2232	6576.9066777125	6.10642	0.0239008211	2.0723312809
rna281	2307	16386.9471719834	3.70163	0.0158328048	0.5211257668
rna287	2402	5360.0602875157	89.2602	0.06589247	40.0001098681
rna289	2433	1081518.47011393	244213	0.0155756378	549.3851888978
rna292	2470	13370.8012252786	15.5495	0.0060514313	2.872472962
rna296	2506	267302.882970581	69.5476	0.0209349348	0.6520179792
rna319	2762	32904.9272596667	71.0805	0.0304591825	5.9664116395
rna320	2775	53704.3251836554	44.4879	0.0168551267	2.2987705753
rna326	2854	108845.263773045	97508	0.1059565109	2556.7289044406
rna336	2970	5047.436498142	29.8293	0.0656571279	17.5520823358
rna343	3027	55057.2919316611	45.7408	0.0218144201	2.5147877192
rna361	3108	262290.743663116	55.3489	0.0172553509	0.655853801
rna363	3113	444754.580864837	89626	0.0219274713	627.325158647
rna379	3133	3575.4185587532	1.8379	0.0223707487	1.6104801733
rna384	3143	26672.1439664479	47.2365	0.0237776357	5.5662686767
rna385	3144	2075.2224159514	197234	0.0319873191	298813.125394902
rna398	3158	6725.1822276169	13.0412	0.0454792566	6.1238652286
rna400	3160	34102.7628505922	58.4109	0.0111268017	5.4124190702
rna412	3179	639.7323836006	5.4006	0.0366391842	26.837014727
rna413	3182	2715.8077473718	9.33245	0.0488418063	10.9344470089
rna423	3201	423232.993946343	45.4147	0.0163694117	0.3434809119
rna424	3203	12477.8432524231	9.29547	0.024230419	2.3861006913
rna425	3204	223751.181022459	138177	0.0199488818	1978.6224411283
rna427	3207	54429.0164233718	8.19299	0.044043003	0.4827373459
rna439	3224	36576.9449524551	111455	0.0161337618	9823.9730099679
rna468	3260	545814.173373458	124338	0.0206942197	742.6371460725
rna473	3269	8577.5268544721	44.7428	0.0367854195	17.0520262637
rna475	3272	4363.8394722463	31.3578	0.0374313646	23.5120293156
rna494	3299	189540.31722521	99.0057	0.021664584	1.7232207326
rna496	3300	513.7027067935	11.2256	0.2598580867	72.1126821216
rna510	3323	14265.2523342041	13.4129	0.0200926528	3.124449933
rna511	3327	2752404.88525833	192726	0.009746666	232.959694787
rna517	3332	1103.4985529066	5.46885	0.0611501815	16.5131237844
rna533	3359	61229.7733584202	35.0257	0.0282108715	1.92147251
rna565	3403	20326.8738375373	4.42096	0.0204510057	0.7401298891
rna574	3414	22415.4990160635	15.3199	0.0154924618	2.3333024423
rna585	3425	11361.9093505771	38549	0.0171550041	11620.4346405293
rna587	3427	819.5200401438	1.75074	0.0386200703	7.3210973327
rna611	3459	11652.9718716976	36977	0.1189170194	10976.036362934
rna613	3461	205055.142255262	104059	0.0313302187	1756.3480488174
rna621	3475	5413.5367562878	25.83	0.042985155	16.5805191764
rna622	3477	14156.8501456979	117181	0.0234007477	28780.2959561464
rna624	3480	3091.6201832338	19.7187	0.0406629197	22.1958299962
rna629	3487	1057.8082276048	41.4032	0.0322256822	136.4831116193
rna641	3500	22266.7016117571	3.75179	0.025027002	0.5897265445
rna645	3513	292684.601159498	41765	0.0346293872	501.2919860449
rna655	3535	70693.7724463189	47.5952	0.021917122	2.3799696377
rna656	3537	2224.6209021065	10.8177	0.0230202252	17.1994270412
rna683	3566	5833.2965718133	5.01454	0.0316904862	3.0654792569
rna701	3599	1162841.33847406	155328	0.0109734023	480.7409691279
rna721	3641	6372.3388768999	18.8977	0.0311396586	10.7976877924
rna736	3660	138073.553394442	167113	0.0831260523	4429.7663452806
rna742	3667	251390.126593682	187358	0.1620329575	2732.9704444219
rna746	3679	98737.5158017144	20.6277	0.0380925842	0.7685964923
rna753	3683	183864.664709619	29.2536	0.0374040173	0.5859799596
rna754	3685	2192171.47055389	163408	0.0251857485	274.6858482963
rna761	3689	37392.1485815827	10.0403	0.0167386183	0.9905466282
rna774	3707	28036.812034433	35.3907	0.0283245673	4.6793239095
rna788	3725	97548.0313274663	29.6991	0.0129943437	1.1340992329
rna792	3729	51372.4202260504	9.69289	0.0186923368	0.7035834919
rna802	3750	71766.9759360228	43.4368	0.0250377366	2.2696790254
rna806	3757	320603.707196238	52.8655	0.0235920621	0.6195052616
rna843	3806	10946.8146002975	7.14394	0.0387220827	2.483812564
rna847	3813	1200357.3672545	1331.49	0.0114880312	4.2295498895
rna850	3820	23547.9055836441	13.7491	0.0171632541	2.2304133085
rna851	3824	164595.117683334	48.9486	0.0200265204	1.1372114133
rna863	3840	65816.1723500659	102009	0.0236523987	5951.646016674
rna864	3844	392733.669062634	40.6407	0.0126828665	0.3977831877
rna881	3865	59282.4654027415	42.7923	0.0217934193	2.7899015059
rna885	3871	3936.2545069495	3.13446	0.0306359495	3.0824974957
rna887	3874	6361.0803900635	1.59972	0.0215702747	0.9742551422
rna900	3889	12344.1932598347	15.1905	0.0260451919	4.7857201566
rna904	3898	17924.5487493552	2.31222	0.0198772324	0.502831825
rna915	3911	8775.0108402582	31.8569	0.0506210895	14.1985392575
rna918	3916	19702.9425718098	14.3428	0.0237174735	2.8506607374
rna921	3919	28228.0066469493	34471	0.0248220128	4785.7381744878
rna924	3925	2098.8781352082	9.45094	0.0247802906	17.6736985715
rna956	3971	83822.9830190634	41581	0.014847485	1969.8434134997
rna957	3974	330497.266245943	81.7212	0.0173915747	0.9826406508
rna961	3982	2229.1468955391	11.9119	0.0794414401	21.2786272161
rna968	3998	3766.9902280885	30.5884	0.0361324046	32.4642262908
rna975	4008	3799.3159151641	8.47963	0.0220363367	8.9453885381
rna977	4012	228939.898489776	181627	0.0154436318	3182.8769419697
rna986	4028	7028.9254273401	1.53221	0.0241597045	0.8780491334
rna1007	4056	14995.7375141387	15.3021	0.0419964342	4.1388639633
rna1015	4073	4108374.53962707	408387	0.008742341	404.8706453017
rna1016	4074	3457079.63904221	437458	0.0096910994	515.5229494493
rna1017	4076	1136246.08141511	158743	0.0094734177	569.4510006091
rna1071	4150	14476.811177032	34.2071	0.0373934987	9.8059899562
rna1104	4208	503318.34909421	483972	0.0118340298	4046.2545815488
rna1106	4211	11934.1995376584	23.8861	0.0136218972	8.4282457975
rna1125	26	22944.5896259219	16.4277	0.0512631993	0.0186152904
rna1152	67	2820.7140957632	42.6851	0.0320414395	1.0138927955
rna1156	74	32191.4982432534	254643	0.2064659638	585.3589620964
rna1162	85	6028.9992183108	48.9762	0.0216502428	0.6904922109
rna1165	89	1645.6404739044	14262	0.042830016	771.3215736536
rna1181	107	875593.646645527	72.2499	0.0118198805	0.0088291405
rna1183	112	1592.5218061539	5.01632	0.0591169626	0.3527913011
rna1198	135	632035.697393327	158.36	0.0115299235	0.0338249882
rna1200	139	79519.9010364826	22.8051	0.0162544604	0.0398630891
rna1214	158	1135.0200241503	3.82242	0.0429132917	0.5320984187
rna1225	175	174551.329362561	78.4117	0.0459730811	0.0786132512
rna1233	183	60868.0235035314	94.0037	0.0164830326	0.2826225678
rna1235	186	67437.9207819098	48.1121	0.0081054335	0.1326976054
rna1244	198	760496.536616865	579265	0.012844398	150.8152430388
rna1249	202	3517.6119997455	24.7811	0.0296440551	1.4230626346
rna1257	217	112863.944031894	24.3188	0.0149828877	0.0467570015
rna1265	235	114049.015279659	32.6415	0.0201571925	0.0672583843
rna1287	265	762941.538445072	2363.38	0.0110496462	0.8208960562
