ID	Alldata_robust_kdp	Alldata_robust_hl	Alldata_robust_beta	Alldata_robust_beta.var	Mean_robust_kdp	Mean_robust_hl	Mean_robust_beta	Mean_robust_beta.var	Median_robust_kdp	Median_robust_hl	Median_robust_beta	Median_robust_beta.var	Threshold_robust_kdp	Threshold_robust_hl	Threshold_robust_beta	Threshold_robust_beta.var	Besttime_robust_kdp	Besttime_robust_hl	Besttime_robust_beta	Besttime_robust_beta.var	Best3time_robust_kdp	Best3time_robust_hl	Best3time_robust_beta	Best3time_robust_beta.var	Alldata_kdp	Alldata_hl	Alldata_beta	Alldata_beta.var	Mean_kdp	Mean_hl	Mean_beta	Mean_beta.var	Median_kdp	Median_hl	Median_beta	Median_beta.var	Threshold_kdp	Threshold_hl	Threshold_beta	Threshold_beta.var	Besttime_kdp	Besttime_hl	Besttime_beta	Besttime_beta.var	Best3time_kdp	Best3time_hl	Best3time_beta	Best3time_robust_beta.var
Anti-HER2_Heavy1	0.22871106	3.030667519	0.242733261	3.82E-11	NA	NA	NA	NA	NA	NA	NA	NA	0.22871106	3.030667519	0.242733261	3.82E-11	0.336126187	2.062163579	0.350148388	4.02E-10	0.331881678	2.088537051	0.345903879	1.79E-10	0.089822688	7.716838521	0.10384489	6.49E-16	0.102474598	6.764087798	0.1164968	3.51E-09	0.106067439	6.534966713	0.12008964	6.33E-10	0.08948555	7.745911854	0.103507751	6.51E-16	0.334785838	2.070419657	0.34880804	3.94E-10	0.343634096	2.01710828	0.357656298	4.28E-11
Anti-HER2_Light1	0.214656686	3.229096622	0.228678888	1.53E-10	NA	NA	NA	NA	NA	NA	NA	NA	0.215375734	3.21831605	0.229397935	2.78E-11	0.279185686	2.482746124	0.293207888	2.89E-10	0.277156938	2.500919466	0.291179139	1.29E-10	0.087186122	7.950200801	0.101208324	2.84E-16	0.101327671	6.840650479	0.115349873	2.00E-09	0.099546015	6.963083133	0.113568217	5.91E-10	0.086344073	8.027733143	0.100366275	2.88E-16	0.276185108	2.509719611	0.290207309	2.84E-09	0.286560037	2.418855008	0.300582239	4.28E-11
cds10002	0.02669579	25.96466246	0.040717992	4.62E-11	NA	NA	NA	NA	NA	NA	NA	NA	0.026730914	25.93054577	0.040753115	3.60E-11	0.026561106	26.09632243	0.040583307	3.21E-10	0.02592604	26.73555902	0.039948242	6.83E-17	0.024775888	27.9766833	0.03879809	4.77E-14	0.025680925	26.99074049	0.039703127	5.68E-09	0.026028894	26.62991253	0.040051096	5.97E-10	0.024778544	27.9736852	0.038800745	4.77E-14	0.023920465	28.97716122	0.037942667	6.92E-09	0.024591191	28.18680793	0.038613393	2.13E-09
cds10009	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0256359	27.03814446	0.039658102	7.30E-06	0.0256359	27.03814446	0.039658102	7.30E-06	0.0256359	27.03814446	0.039658102	7.30E-06	0.0256359	27.03814446	0.039658102	7.30E-06	NA	NA	NA	NA	0.0256359	27.03814446	0.039658102	7.30E-06
cds10012	0.009604583	72.16837923	0.023626784	3.44E-13	NA	NA	NA	NA	NA	NA	NA	NA	0.009904401	69.98375408	0.023926603	4.94E-12	0.009092722	76.23098816	0.023114924	1.14E-09	0.009531982	72.71805237	0.023554184	7.18E-12	0.011733903	59.07217774	0.025756104	3.71E-14	0.012321968	56.25296051	0.02634417	4.49E-10	0.010007767	69.26092488	0.024029968	7.23E-11	0.011749844	58.99203044	0.025772046	3.71E-14	0.010728293	64.60926738	0.024750495	7.83E-10	0.011564942	59.93520412	0.025587144	1.70E-10
cds10013	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cds10017	0.010652307	65.07014563	0.024674509	4.17E-13	NA	NA	NA	NA	NA	NA	NA	NA	0.010660027	65.02302035	0.024682229	1.49E-16	0.009086875	76.2800413	0.023109076	2.35E-08	0.010344868	67.00396693	0.024367069	3.07E-09	0.009469689	73.19640109	0.023491891	1.21E-14	0.009746764	71.11561807	0.023768966	5.15E-10	0.010090184	68.69519814	0.024112385	6.44E-10	0.009471864	73.17959833	0.023494065	7.36E-14	0.008300555	83.50612093	0.022322757	4.64E-10	0.009226636	75.12458489	0.023248837	4.56E-10
cds10019	0.028681201	24.16730011	0.042703402	2.99E-10	NA	NA	NA	NA	NA	NA	NA	NA	0.028681201	24.16730011	0.042703402	2.99E-10	NA	NA	NA	NA	0.028681201	24.16730011	0.042703402	2.99E-10	0.029541595	23.46343085	0.043563797	1.48E-07	0.029982949	23.1180455	0.044005151	4.74E-07	0.029982949	23.1180455	0.044005151	4.74E-07	0.029541595	23.46343085	0.043563797	1.48E-07	NA	NA	NA	NA	0.029541595	23.46343085	0.043563797	1.48E-07
cds10035	0.059788296	11.59335911	0.073810497	4.45E-09	NA	NA	NA	NA	NA	NA	NA	NA	0.059816744	11.58784532	0.073838946	4.45E-09	0.06284172	11.03004781	0.076863922	7.71E-10	0.064030862	10.82520463	0.078053063	1.24E-08	0.053937851	12.85084895	0.067960053	9.32E-12	0.053852682	12.87117289	0.067874884	2.10E-09	0.051461579	13.46921712	0.065483781	1.93E-09	0.053939547	12.85044503	0.067961748	9.32E-12	0.067943109	10.20187614	0.08196531	6.15E-06	0.068815602	10.07252955	0.082837803	3.71E-10
cds10037	0.033430836	20.73376753	0.047453038	2.42E-12	NA	NA	NA	NA	NA	NA	NA	NA	0.033419149	20.74101856	0.04744135	1.16E-12	0.034897945	19.86212027	0.048920147	5.63E-09	0.035120996	19.73597747	0.049143197	2.47E-12	0.034398672	20.15040509	0.048420874	5.27E-14	0.034733431	19.95619683	0.048755632	7.69E-10	0.033359109	20.77834808	0.047381311	3.00E-10	0.034400428	20.1493767	0.04842263	5.27E-14	0.035468454	19.54263865	0.049490656	1.32E-10	0.036630891	18.92247645	0.050653093	5.07E-12
cds10039	0.011435693	60.6126096	0.025457894	1.49E-12	NA	NA	NA	NA	NA	NA	NA	NA	0.011410953	60.74402077	0.025433155	6.60E-13	0.011387048	60.87154075	0.02540925	7.79E-12	0.011222932	61.76168254	0.025245134	2.27E-12	0.013252233	52.30417834	0.027274435	1.04E-14	0.015240905	45.47939684	0.029263107	4.77E-09	0.01199485	57.78706511	0.026017052	3.82E-09	0.013259426	52.27580544	0.027281628	1.04E-14	0.011657855	59.45752172	0.025680057	5.68E-13	0.0126486	54.80030734	0.026670802	1.81E-14
cds10043	0.032183697	21.53721412	0.046205899	1.15E-10	NA	NA	NA	NA	NA	NA	NA	NA	0.032183697	21.53721412	0.046205899	1.15E-10	0.032912084	21.06056774	0.046934286	3.28E-05	0.037194116	18.63593638	0.051216318	2.25E-08	0.032382517	21.40498128	0.046404719	1.15E-10	0.033275797	20.83037054	0.047297999	2.80E-08	0.030538194	22.69771353	0.044560396	4.60E-09	0.032382517	21.40498128	0.046404719	1.15E-10	0.032912084	21.06056774	0.046934286	3.28E-05	0.039295416	17.63939039	0.053317617	2.22E-08
cds10044	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cds10048	0.02360989	29.35834001	0.037632092	2.74E-12	NA	NA	NA	NA	NA	NA	NA	NA	0.02360989	29.35834001	0.037632092	2.74E-12	0.022631284	30.62783301	0.036653485	7.70E-07	0.023521745	29.46835757	0.037543946	5.53E-08	0.023653858	29.30376887	0.037676059	3.63E-12	0.023664138	29.29103925	0.037686339	1.56E-09	0.022970398	30.17567085	0.0369926	1.89E-09	0.023653858	29.30376887	0.037676059	3.63E-12	0.022631284	30.62783301	0.036653485	7.70E-07	0.023388611	29.6360985	0.037410813	3.99E-08
cds10055	0.03456893	20.05116091	0.048591132	3.73E-10	NA	NA	NA	NA	NA	NA	NA	NA	0.033251635	20.84550668	0.047273837	5.82E-08	NA	NA	NA	NA	0.033933235	20.42679334	0.047955437	1.02E-08	0.033963863	20.40837294	0.047986065	7.46E-13	0.034248846	20.23855575	0.048271048	1.77E-10	0.034843129	19.89336765	0.048865331	3.07E-10	0.033967576	20.40614178	0.047989778	7.46E-13	0.032358263	21.42102551	0.046380465	2.00E-08	0.03454357	20.06588124	0.048565772	9.87E-09
cds10058	0.033495069	20.69400664	0.047517271	5.61E-13	NA	NA	NA	NA	NA	NA	NA	NA	0.033500796	20.69046918	0.047522997	9.82E-13	0.036825643	18.82240538	0.050847845	1.55E-07	0.034517808	20.08085733	0.04854001	0	0.032252583	21.49121473	0.046274784	2.12E-13	0.033330874	20.79594957	0.047353076	9.68E-12	0.033141552	20.9147469	0.047163754	9.86E-12	0.032255987	21.48894678	0.046278188	3.64E-13	0.036825643	18.82240538	0.050847845	1.55E-07	0.036616817	18.92974986	0.050639018	7.89E-09
cds10062	0.016230646	42.70607342	0.030252848	2.46E-10	NA	NA	NA	NA	NA	NA	NA	NA	0.016189485	42.81465259	0.030211687	5.50E-11	0.015721272	44.08976558	0.029743473	3.42E-09	0.016339576	42.42136849	0.030361778	3.73E-09	0.01537371	45.08652538	0.029395912	2.29E-12	0.01632676	42.45466814	0.030348962	9.43E-10	0.016289669	42.55133599	0.030311871	6.39E-10	0.015380746	45.06590233	0.029402947	2.29E-12	0.014561185	47.60238827	0.028583387	7.79E-09	0.01514789	45.75866106	0.029170092	1.94E-09
