RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220E-16
 N =  259    M =  10

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
    0    1     -     -   -     -     -        -     1.507E+04  1.824E+04
    1    2     1     0  ---    0  6.6E-05  1.0E+00  5.193E+03  8.903E+03
    2    3     0     0  con    0  1.0E+00  5.3E-01  2.814E+03  6.852E+03
    3    4     0     0  con    0  1.0E+00  6.2E-01  1.229E+03  5.646E+03
    4    5     0     0  con    0  1.0E+00  4.8E-01  5.425E+02  5.233E+03
    5    6     0     0  con    0  1.0E+00  3.8E-01  2.080E+02  5.094E+03
    6    7     0     0  con    0  1.0E+00  2.4E-01  6.572E+01  5.063E+03
    7    8     0     0  con    0  1.0E+00  1.1E-01  1.355E+01  5.058E+03
    8    9     0     0  con    0  1.0E+00  3.1E-02  1.178E+00  5.058E+03
    9   10     0     0  con    0  1.0E+00  1.3E-02  1.362E+00  5.058E+03
   10   11     0     0  con    0  1.0E+00  7.3E-02  8.022E+00  5.058E+03
   11   12     0     0  con    0  1.0E+00  1.8E-01  1.668E+01  5.058E+03
   12   13     0     0  con    0  1.0E+00  5.5E-01  3.125E+01  5.056E+03
   13   14     0     0  con    0  1.0E+00  1.4E+00  5.265E+01  5.053E+03
   14   15     0     0  con    0  1.0E+00  3.9E+00  8.505E+01  5.046E+03
   15   16     0     0  con    0  1.0E+00  1.2E+01  1.385E+02  5.022E+03
   16   17     0     0  con    0  1.0E+00  3.8E+01  2.063E+02  4.989E+03
   17   18     0     0  con    0  1.0E+00  7.5E+00  1.912E+02  4.964E+03
   18   19     0     0  con    0  1.0E+00  1.2E+01  7.641E+01  4.916E+03
   19   20     0     0  con    0  1.0E+00  2.0E+01  7.729E+01  4.858E+03
   20   21     0     0  con    0  1.0E+00  2.0E+01  4.212E+01  4.823E+03
   21   22     0     0  con    0  1.0E+00  1.8E+01  9.761E+00  4.808E+03
   22   23     0     0  con    0  1.0E+00  1.7E+01  1.395E+01  4.801E+03
   23   24     0     0  con    0  1.0E+00  2.7E+01  3.709E-01  4.794E+03
   24   25     0     0  con    0  1.0E+00  2.6E+01  3.777E+00  4.791E+03
   25   26     0     0  con    0  1.0E+00  2.7E+01  1.116E+00  4.789E+03
   26   27     0     0  con    0  1.0E+00  3.5E+01  1.110E+00  4.788E+03
   27   28     0     0  con    0  1.0E+00  5.7E+01  8.093E+00  4.784E+03
   28   29     0     0  con    0  1.0E+00  2.9E+01  3.080E+00  4.783E+03
   29   30     0     0  con    0  1.0E+00  1.5E+01  3.938E-01  4.782E+03
   30   31     0     0  con    0  1.0E+00  2.1E+01  4.820E+00  4.782E+03
   31   32     0     0  con    0  1.0E+00  4.7E+00  3.010E+00  4.782E+03
   32   33     0     0  con    0  1.0E+00  2.6E+00  5.225E-01  4.782E+03
   33   34     0     0  con    0  1.0E+00  3.1E+00  4.743E-01  4.782E+03
   34   35     0     0  con    0  1.0E+00  7.4E+00  8.963E-01  4.782E+03
   35   36     0     0  con    0  1.0E+00  3.1E+00  4.106E-01  4.782E+03
   36   37     0     0  con    0  1.0E+00  4.9E+00  1.699E+00  4.782E+03
   37   38     0     0  con    0  1.0E+00  6.7E-01  3.803E+00  4.782E+03
   38   39     0     0  con    0  1.0E+00  6.7E+00  6.707E+00  4.782E+03
   39   40     0     0  con    0  1.0E+00  1.8E+01  8.865E+00  4.782E+03
   40   41     0     0  con    0  1.0E+00  3.3E+01  7.962E+00  4.782E+03
   41   42     0     0  con    0  1.0E+00  7.7E+01  1.350E+00  4.782E+03
   42   43     0     0  con    0  1.0E+00  6.3E+00  1.544E+00  4.782E+03
   43   45     0     0  con    1  7.4E-02  5.2E+00  2.251E+00  4.782E+03
   44   46     0     0  con    0  1.0E+00  1.5E+00  1.475E+00  4.782E+03
   45   47     0     0  con    0  1.0E+00  4.7E+00  7.390E-01  4.782E+03
   46   48     0     0  con    0  1.0E+00  5.6E+00  1.991E-01  4.782E+03
   47
