gene_ID	RNA_r1	RNA_r2	RNA_av
ENSMUST00000073261	NA	NA	NA
ENSMUST00000073009	NA	NA	NA
ENSMUST00000031564	2397.59	1996.28	2187.76
ENSMUST00000018246	NA	NA	NA
ENSMUST00000075558	NA	NA	NA
ENSMUST00000078766	12.15	13.46	12.79
ENSMUST00000042235	3605.71	2892.61	3229.54
ENSMUST00000001046	1779.5	1872.7	1825.51
ENSMUST00000089377	2743	1840.77	2247.05
ENSMUST00000040914	3.88	4.79	4.31
ENSMUST00000034756	626.16	635.25	630.69
	NA	NA	NA
ENSMUST00000021220	177.38	119.93	145.85
ENSMUST00000070195	854.44	623.38	729.82
ENSMUST00000015800	NA	NA	NA
ENSMUST00000018437	880.15	544.47	692.25
ENSMUST00000001566	501.72	312.38	395.89
ENSMUST00000076155	NA	NA	NA
ENSMUST00000036004	NA	NA	NA
ENSMUST00000072503	530.68	315.06	408.9
ENSMUST00000025511	366.14	319.01	341.76
ENSMUST00000071781	NA	NA	NA
ENSMUST00000073926	NA	NA	NA
ENSMUST00000034834	1140.45	1041.71	1089.96
ENSMUST00000060240	12.25	9.77	10.94
ENSMUST00000043419	532.98	358.83	437.32
ENSMUST00000097014	NA	NA	NA
ENSMUST00000031383	215.59	127.73	165.94
ENSMUST00000022894	75.92	68.56	72.15
ENSMUST00000103009	384.72	516.89	445.93
ENSMUST00000080300	7.5	17.13	11.34
ENSMUST00000024739	938.35	860.5	898.58
ENSMUST00000074267	64.56	73.31	68.8
ENSMUST00000067664	282.45	218.8	248.6
ENSMUST00000000756	NA	NA	NA
ENSMUST00000035105	NA	NA	NA
ENSMUST00000085282	NA	NA	NA
ENSMUST00000008826	NA	NA	NA
ENSMUST00000005051	395.05	381.78	388.36
ENSMUST00000008812	NA	NA	NA
ENSMUST00000004072	2099.48	1097.42	1517.9
ENSMUST00000077856	NA	NA	NA
ENSMUST00000033683	NA	NA	NA
ENSMUST00000080813	NA	NA	NA
ENSMUST00000027123	261.27	203.09	230.35
ENSMUST00000102589	143.13	134.13	138.56
ENSMUST00000030454	189.13	176.25	182.57
ENSMUST00000084434	NA	NA	NA
ENSMUST00000081840	904.49	729.84	812.49
ENSMUST00000006496	601.39	566.14	583.5
ENSMUST00000080511	NA	NA	NA
ENSMUST00000085546	NA	NA	NA
ENSMUST00000038169	1243.97	933.61	1077.67
ENSMUST00000073471	777.74	587.24	675.81
