gene_ID	protein_hl_r1	protein_hl_r2	protein_hl_r1
ENSMUST00000073261	121.11	74.06	94.71
ENSMUST00000073009	114.25	95.85	104.65
ENSMUST00000031564	62.29	61.56	61.92
ENSMUST00000018246	103.03	84.82	93.48
ENSMUST00000075558	82.21	77.2	79.67
ENSMUST00000078766	10.88	11.59	11.23
ENSMUST00000042235	108.33	147.32	126.33
ENSMUST00000001046	142.21	150.28	146.19
ENSMUST00000089377	156.95	NA	156.95
ENSMUST00000040914	62.07	52.31	56.98
ENSMUST00000034756	159.14	340.02	232.62
	176.15	709.59	353.55
ENSMUST00000021220	124.31	242.75	173.71
ENSMUST00000070195	59.32	76.36	67.3
ENSMUST00000015800	74.06	78.53	76.26
ENSMUST00000018437	88.89	150.66	115.73
ENSMUST00000001566	105.94	175.45	136.33
ENSMUST00000076155	127.07	363.1	214.8
ENSMUST00000036004	153.07	175.31	163.81
ENSMUST00000072503	105.2	139.68	121.22
ENSMUST00000025511	152.78	353.83	232.5
ENSMUST00000071781	91.96	243.78	149.73
ENSMUST00000073926	148.16	187.91	166.86
ENSMUST00000034834	107.34	174.05	136.68
ENSMUST00000060240	76.99	205.8	125.88
ENSMUST00000043419	45.04	56.26	50.34
ENSMUST00000097014	111.18	103.65	107.35
ENSMUST00000031383	77.34	106.26	90.65
ENSMUST00000022894	100.03	125.15	111.89
ENSMUST00000103009	152.91	225.93	185.87
ENSMUST00000080300	126.47	154.78	139.91
ENSMUST00000024739	67.39	88.89	77.4
ENSMUST00000074267	139.96	152.72	146.2
ENSMUST00000067664	93.74	220.31	143.71
ENSMUST00000000756	147.91	202.93	173.25
ENSMUST00000035105	187.83	291.55	234.01
ENSMUST00000085282	103.36	156.75	127.29
ENSMUST00000008826	28.8	33.28	30.96
ENSMUST00000005051	103.03	245.95	159.19
ENSMUST00000008812	130.75	218.85	169.16
ENSMUST00000004072	99.02	124.77	111.15
ENSMUST00000077856	44.88	60.03	51.91
ENSMUST00000033683	73.52	107.83	89.04
ENSMUST00000080813	113.89	120.95	117.37
ENSMUST00000027123	214.8	NA	214.8
ENSMUST00000102589	44.09	52.06	47.91
ENSMUST00000030454	175.81	200	187.52
ENSMUST00000084434	58.64	63.61	61.08
ENSMUST00000081840	140.58	228.6	179.27
ENSMUST00000006496	136.29	217.29	172.09
ENSMUST00000080511	88.79	72.71	80.35
ENSMUST00000085546	79.97	216.18	131.48
ENSMUST00000038169	174.93	894.39	395.54
ENSMUST00000073471	111.92	167.57	136.95
ENSMUST00000029699	63.02	127	89.46
ENSMUST00000080861	137.31	230.35	177.85
ENSMUST00000094154	86.69	324.34	167.68
ENSMUST00000090792	168.43	226.98	195.53
ENSMUST00000032998	137.36	184.83	159.34
ENSMUST00000079428	78.47	86.48	82.38
ENSMUST00000031617	93.92	132.54	111.57
ENSMUST00000103191	87.93	147.54	113.9
ENSMUST00000058437	112.71	209.36	153.61
ENSMUST00000001051	95.36	91.05	93.18
ENSMUST00000016463	112.02	124.13	117.92
ENSMUST00000019323	149.16	354.58	229.98
ENSMUST00000106588	101.63	157.61	126.56
ENSMUST00000017548	69.57	81.03	75.08
ENSMUST00000029722	98.52	162.95	126.7
ENSMUST00000086519	98.46	125.28	111.06
ENSMUST00000075641	109.66	207.48	150.84
ENSMUST00000061609	124.67	193.72	155.41
ENSMUST00000011896	157.14	1787.1	529.93
ENSMUST00000081593	130.11	294.22	195.66
ENSMUST00000042334	150.37	231.91	186.74
ENSMUST00000051955	123.75	188.88	152.89
ENSMUST00000086535	91.54	141.89	113.97
ENSMUST00000022388	64.49	57.69	60.99
ENSMUST00000103146	104.13	162.92	130.25
ENSMUST00000074642	88.81	247.71	148.32
ENSMUST00000080492	143.95	201.07	170.13
ENSMUST00000051978	115.19	176.24	142.48
ENSMUST00000077915	100.14	147.68	121.61
ENSMUST00000052248	97.89	227.66	149.28
ENSMUST00000004554	113.73	145.93	128.83
ENSMUST00000085049	117.9	147.22	131.75
ENSMUST00000025561	65.76	83.56	74.13
	186.36	219.23	202.13
ENSMUST00000076708	115.37	162.8	137.05
ENSMUST00000087566	87.21	116.64	100.86
ENSMUST00000023707	137.59	244.06	183.25
ENSMUST00000078981	118.56	140.55	129.09
ENSMUST00000021217	125.26	208.95	161.78
ENSMUST00000047864	61.08	57.62	59.33
ENSMUST00000028222	168.85	228.14	196.27
ENSMUST00000048156	123.55	183.63	150.62
ENSMUST00000039631	54.42	63.66	58.86
ENSMUST00000030185	17.11	19.88	18.44
ENSMUST00000009039	44.74	49.3	46.96
ENSMUST00000055808	134.46	NA	134.46
ENSMUST00000024846	40.85	48.35	44.44
ENSMUST00000026420	109.55	152.27	129.16
ENSMUST00000055770	67.75	108.74	85.83
ENSMUST00000001204	101.72	132.03	115.89
ENSMUST00000043703	137.86	169.51	152.87
ENSMUST00000032597	114.08	159.58	134.93
ENSMUST00000102669	144.12	195.95	168.05
ENSMUST00000057885	114.72	151.59	131.87
ENSMUST00000035983	109.33	180.12	140.33
ENSMUST00000074669	79.75	86.69	83.15
ENSMUST00000111228	44.97	47.6	46.26
ENSMUST00000053298	107.26	114.34	110.74
ENSMUST00000082223	85.11	155.41	115.01
ENSMUST00000067936	108.25	191.69	144.05
