Gene_ID	Protein_r1	Protein_r2	Protein_av
ENSMUST00000073261	131700905.3	95579048.05	112195575.48
ENSMUST00000073009	103741785.26	125881552	114276755.88
ENSMUST00000031564	99927848.13	144402803.81	120124358.27
ENSMUST00000018246	94278247.13	75261958.56	84235179.88
ENSMUST00000075558	69486885.19	51576195.73	59865425.67
ENSMUST00000078766	35102180.45	32852418.56	33958673.77
ENSMUST00000042235	31513841.27	40288713.04	35632177.98
ENSMUST00000001046	30294742.51	19606459.88	24371554.19
ENSMUST00000089377	25768205.58	22709234.7	24190416.04
ENSMUST00000040914	24315177.05	13397486.32	18048885.06
ENSMUST00000034756	23764049.6	25435399.62	24585526.19
	23392682.32	34413578.1	28372978.34
ENSMUST00000021220	21833234.56	13456947.05	17140848.33
ENSMUST00000070195	21708582.91	19792495.08	20728410.95
ENSMUST00000015800	20270977.55	24067231.62	22087695.94
ENSMUST00000018437	20134268.5	20467818	20300358.21
ENSMUST00000001566	19784973.96	39655034.72	28010245.08
ENSMUST00000076155	18684722.67	29642867.67	23534416.54
ENSMUST00000036004	17830731.75	16494984.23	17149858.28
ENSMUST00000072503	17394591.77	11944384.33	14414148.93
ENSMUST00000025511	16964891.45	7351322.65	11167559.75
ENSMUST00000071781	16319873.45	18721349.3	17479417.94
ENSMUST00000073926	15979133.33	8118912.33	11390047.53
ENSMUST00000034834	15952047.68	18637899.62	17242756.84
ENSMUST00000060240	15935062.05	7353624.04	10824992.16
ENSMUST00000043419	15472547.72	14716735.8	15089910.44
ENSMUST00000097014	15253427.71	34536929.54	22952266.95
ENSMUST00000031383	15210122.11	12186707.15	13614745.82
ENSMUST00000022894	14209569.3	16596290.04	15356631.58
ENSMUST00000103009	13995144.28	6504880.68	9541317.71
ENSMUST00000080300	13593670.79	8835895.93	10959573.92
ENSMUST00000024739	13475558.69	19554571.64	16232953.45
ENSMUST00000074267	13418122.96	10105206.99	11644436.86
ENSMUST00000067664	13363225.55	15731920.93	14499283.01
ENSMUST00000000756	12899227.82	7029813.56	9522560.93
ENSMUST00000035105	12836043.97	19930019.08	15994455.33
ENSMUST00000085282	12777700.53	8358033.26	10334236.6
ENSMUST00000008826	12740769.48	6603928.24	9172738.27
ENSMUST00000005051	12630257.38	14820126.02	13681447.51
ENSMUST00000008812	12506585.98	7979559.21	9989847.01
ENSMUST00000004072	12482922.35	5217752.3	8070489.26
ENSMUST00000077856	12377691.84	11568635.78	11966328.12
ENSMUST00000033683	12371788.57	8305894.33	10136999.97
ENSMUST00000080813	12361892.48	10974428.1	11647519.06
ENSMUST00000027123	11717521.65	11985250.02	11850629.8
ENSMUST00000102589	11459143.44	13743230.82	12549328.8
ENSMUST00000030454	11386577.83	13805190.96	12537698.41
ENSMUST00000084434	11156868	12781512.58	11941593.22
ENSMUST00000081840	11125489.66	4588615.33	7144969.73
ENSMUST00000006496	10804551.27	9412686.99	10084634.81
ENSMUST00000080511	10312786.08	5195364.2	7319745.87
ENSMUST00000085546	10182175.5	6975982.7	8427970.11
ENSMUST00000038169	10173712.31	8179784.4	9122432.42
ENSMUST00000073471	10040376.38	5242910.09	7255397.35
ENSMUST00000029699	10012126.88	9390254.73	9696206.57
ENSMUST00000080861	9957550.33	9317076.34	9631991.31
ENSMUST00000094154	9940925.86	30219503.76	17332335.28
ENSMUST00000090792	9862749.85	7399929.35	8543047
ENSMUST00000032998	9833652.75	10869279.22	10338506.54
ENSMUST00000079428	9829449.14	7474205.8	8571308.29
ENSMUST00000031617	9751725.94	8344298.64	9020604.94
ENSMUST00000103191	9648605.5	6833471.25	8119942.62
ENSMUST00000058437	9633487.49	6974155.64	8196672.57
ENSMUST00000001051	9303153.43	4909897.56	6758515.4
ENSMUST00000016463	9047759.05	7638683.27	8313420.82
ENSMUST00000019323	9024102.5	8715772.31	8868597.56
ENSMUST00000106588	8975202.8	5831954.13	7234844.23
ENSMUST00000017548	8895696.63	5099198.78	6735052
ENSMUST00000029722	8761762.12	6117780.03	7321375.1
ENSMUST00000086519	8747135.8	11005366.9	9811495.24
ENSMUST00000075641	8718532.34	6250845.8	7382289.7
ENSMUST00000061609	8573317.23	10491784.97	9484165.8
ENSMUST00000011896	8526669.4	8016172.7	8267481.75
ENSMUST00000081593	8520424.37	13509426.35	10728748.55
ENSMUST00000042334	8123181.74	5747471.85	6832844.09
ENSMUST00000051955	7988313.44	5295849.42	6504222.1
ENSMUST00000086535	7930274.39	8227388.56	8077465.49
ENSMUST00000022388	7805134.62	6310600.31	7018196.7
ENSMUST00000103146	7731091.06	5885081.24	6745227.87
ENSMUST00000074642	7718328.49	6340936.99	6995815.51
ENSMUST00000080492	7709730.36	5331930.13	6411532.08
ENSMUST00000051978	7655363.13	6851590.82	7242334.97
ENSMUST00000077915	7627373.59	7787038.07	7706792.36
ENSMUST00000052248	7610110.2	9056292.38	8301769.87
ENSMUST00000004554	7541576.98	8173871.78	7851361.87
ENSMUST00000085049	7383975.75	8982128.18	8143943.56
ENSMUST00000025561	7333558.46	13994179.72	10130505.17
	7329531.2	8875323.15	8065479.4
ENSMUST00000076708	7208602.8	7360476.76	7284143.97
ENSMUST00000087566	7188289.44	8835240.29	7969332.75
ENSMUST00000023707	7109069.16	3734177.73	5152332.26
ENSMUST00000078981	7102198.97	4596326.05	5713494.74
ENSMUST00000021217	7050003.66	6265693.88	6646289.55
ENSMUST00000047864	7034232.68	7409616.81	7219485.35
ENSMUST00000028222	6981396.76	8609088.96	7752642.5
ENSMUST00000048156	6935665.14	5191398.33	6000483.35
ENSMUST00000039631	6923030.95	16517862.17	10693627.59
ENSMUST00000030185	6863255.34	4474630.95	5541708.65
ENSMUST00000009039	6718444.29	6864489.76	6791074.44
ENSMUST00000055808	6618561.5	4432570.3	5416386.17
ENSMUST00000024846	6576721.55	9205185.97	7780741.93
ENSMUST00000026420	6567811.31	5433281.29	5973672.76
ENSMUST00000055770	6540084.24	5730030.21	6121672.99
ENSMUST00000001204	6398138.67	6112048.74	6253457.88
ENSMUST00000043703	6309927.5	6954023.44	6624151.55
ENSMUST00000032597	6306729.19	3600719.88	4765371.46
ENSMUST00000102669	6261029.29	4675962.01	5410761.04
ENSMUST00000057885	6141632.94	8236689.85	7112434.59
ENSMUST00000035983	6100817.44	5259880.16	5664765.54
ENSMUST00000074669	6079643.09	8323189.63	7113509.84
ENSMUST00000111228	6071931.19	8106649.46	7015911.75
ENSMUST00000053298	6063856.89	5493116.36	5771435.82
ENSMUST00000082223	6039259.19	4725119.4	5341930.43
ENSMUST00000067936	5831499.77	6330584.7	6075919.95
ENSMUST00000074521	5793426.64	7276615.77	6492806.76
ENSMUST00000050737	5768833.79	4876363.53	5303859.98
ENSMUST00000029266	5757353.68	9926615.11	7559830.29
ENSMUST00000061242	5636938.79	6269426.13	5944776.81
ENSMUST00000102980	5632009.1	4930962.36	5269841.06
ENSMUST00000034966	5621565.8	7340913.98	6423973.15
ENSMUST00000068408	5555376.38	4529819.12	5016457.92
ENSMUST00000040607	5551291.1	985479.25	2338948.95
ENSMUST00000054289	5529939.88	6445763.46	5970316.94
