gene_ID	mrna_hl_r1	mrna_hl_r2	mrna_hl_av
ENSMUST00000073261	NA	NA	NA
ENSMUST00000073009	NA	NA	NA
ENSMUST00000031564	14.28	8.8	11.21
ENSMUST00000018246	NA	NA	NA
ENSMUST00000075558	NA	NA	NA
ENSMUST00000078766	9.9	10.64	10.26
ENSMUST00000042235	14.96	20.47	17.5
ENSMUST00000001046	14.61	17.28	15.89
ENSMUST00000089377	17.28	10.99	13.78
ENSMUST00000040914	4.58	3.25	3.85
ENSMUST00000034756	13.89	16.41	15.1
	NA	NA	NA
ENSMUST00000021220	13.7	14.91	14.29
ENSMUST00000070195	13.82	14.99	14.39
ENSMUST00000015800	8.19	13.16	10.38
ENSMUST00000018437	15.48	16.62	16.04
ENSMUST00000001566	15.34	12.29	13.73
ENSMUST00000076155	19.99	8.17	12.78
ENSMUST00000036004	5.65	14.94	9.18
ENSMUST00000072503	18.34	17.94	18.14
ENSMUST00000025511	19.5	12.37	15.53
ENSMUST00000071781	NA	NA	NA
ENSMUST00000073926	NA	NA	NA
ENSMUST00000034834	18.96	23.27	21
ENSMUST00000060240	16.29	24.48	19.97
ENSMUST00000043419	13.89	11.48	12.63
ENSMUST00000097014	13.03	8.14	10.3
ENSMUST00000031383	16.24	15.57	15.9
ENSMUST00000022894	14.64	8.43	11.11
ENSMUST00000103009	14.25	8.47	10.99
ENSMUST00000080300	2.97	3.29	3.13
ENSMUST00000024739	14.76	24.69	19.09
ENSMUST00000074267	17.87	13.79	15.69
ENSMUST00000067664	15.31	20.59	17.75
ENSMUST00000000756	16.13	2.47	6.32
ENSMUST00000035105	19.93	6.65	11.52
ENSMUST00000085282	12.76	7.2	9.58
ENSMUST00000008826	NA	NA	NA
ENSMUST00000005051	19.62	29.2	23.93
ENSMUST00000008812	NA	NA	NA
ENSMUST00000004072	15.35	14.54	14.94
ENSMUST00000077856	NA	NA	NA
ENSMUST00000033683	10.61	14.21	12.28
ENSMUST00000080813	NA	NA	NA
ENSMUST00000027123	9.78	17.95	13.25
ENSMUST00000102589	6.88	4.98	5.86
ENSMUST00000030454	14.57	16.42	15.47
ENSMUST00000084434	17.18	28.15	21.99
ENSMUST00000081840	13.98	16.3	15.09
ENSMUST00000006496	12.45	18.81	15.3
ENSMUST00000080511	NA	NA	NA
ENSMUST00000085546	NA	NA	NA
ENSMUST00000038169	17.56	40.81	26.77
