gene_ID	transcription_r1	transcription_r2	transcription_av
ENSMUST00000073261	NA	NA	NA
ENSMUST00000073009	NA	NA	NA
ENSMUST00000031564	170.63	194.77	182.3
ENSMUST00000018246	NA	NA	NA
ENSMUST00000075558	NA	NA	NA
ENSMUST00000078766	1.12	1.13	1.13
ENSMUST00000042235	248.79	155.82	196.89
ENSMUST00000001046	124.7	112.2	118.28
ENSMUST00000089377	172.73	NA	172.73
ENSMUST00000040914	0.67	1.1	0.86
ENSMUST00000034756	45.38	39.37	42.27
	NA	NA	NA
ENSMUST00000021220	12.97	7.93	10.14
ENSMUST00000070195	62.14	41.07	50.51
ENSMUST00000015800	27.03	NA	27.03
ENSMUST00000018437	59.42	33.47	44.6
ENSMUST00000001566	34.06	23.67	28.39
ENSMUST00000076155	11.64	NA	11.64
ENSMUST00000036004	NA	NA	NA
ENSMUST00000072503	32.23	18.43	24.37
ENSMUST00000025511	21.44	24.05	22.71
ENSMUST00000071781	NA	NA	NA
ENSMUST00000073926	NA	NA	NA
ENSMUST00000034834	67.91	52	59.42
ENSMUST00000060240	0.8	0.47	0.62
ENSMUST00000043419	38.63	28.57	33.22
ENSMUST00000097014	NA	NA	NA
ENSMUST00000031383	14.12	8.2	10.76
ENSMUST00000022894	5.31	6.92	6.06
ENSMUST00000103009	27.41	51.97	37.74
ENSMUST00000080300	1.9	3.9	2.72
ENSMUST00000024739	65.33	41.53	52.09
ENSMUST00000074267	3.98	5.12	4.51
ENSMUST00000067664	19.21	11.74	15.02
ENSMUST00000000756	NA	NA	NA
ENSMUST00000035105	NA	NA	NA
ENSMUST00000085282	50.76	NA	50.76
ENSMUST00000008826	NA	NA	NA
ENSMUST00000005051	23.05	16.82	19.69
ENSMUST00000008812	NA	NA	NA
ENSMUST00000004072	142.48	73.82	102.56
ENSMUST00000077856	NA	NA	NA
ENSMUST00000033683	160.43	NA	160.43
ENSMUST00000080813	NA	NA	NA
ENSMUST00000027123	24.26	NA	24.26
ENSMUST00000102589	17.46	21.04	19.17
ENSMUST00000030454	13.28	10.92	12.04
ENSMUST00000084434	NA	NA	NA
ENSMUST00000081840	65.27	45.44	54.46
ENSMUST00000006496	46.96	32.13	38.84
ENSMUST00000080511	NA	NA	NA
ENSMUST00000085546	NA	NA	NA
ENSMUST00000038169	77.57	35.05	52.14
ENSMUST00000073471	58.23	51.23	54.62
