gene_ID	translation_r1	translation_r2	translation_av
ENSMUST00000073261	NA	NA	NA
ENSMUST00000073009	NA	NA	NA
ENSMUST00000031564	1506.65	2384.84	1895.55
ENSMUST00000018246	NA	NA	NA
ENSMUST00000075558	NA	NA	NA
ENSMUST00000078766	254666.99	197957.19	224528.75
ENSMUST00000042235	274.9	370.49	319.13
ENSMUST00000001046	509.61	277.36	375.96
ENSMUST00000089377	277.1	NA	277.1
ENSMUST00000040914	224540.41	96678.52	147337.15
ENSMUST00000034756	1116.26	958.02	1034.12
	NA	NA	NA
ENSMUST00000021220	3769.49	2774.7	3234.07
ENSMUST00000070195	932.36	981.5	956.61
ENSMUST00000015800	NA	NA	NA
ENSMUST00000018437	751.44	995.29	864.81
ENSMUST00000001566	1246.1	3274.06	2019.85
ENSMUST00000076155	NA	NA	NA
ENSMUST00000036004	NA	NA	NA
ENSMUST00000072503	1037.93	1017.67	1027.75
ENSMUST00000025511	1372.84	548.79	867.99
ENSMUST00000071781	NA	NA	NA
ENSMUST00000073926	NA	NA	NA
ENSMUST00000034834	441.13	463.23	452.05
ENSMUST00000060240	44310.19	19032.41	29040.14
ENSMUST00000043419	1172.27	1397.91	1280.13
ENSMUST00000097014	NA	NA	NA
ENSMUST00000031383	2399.73	2707.59	2549.02
ENSMUST00000022894	5985.41	6606.55	6288.32
ENSMUST00000103009	1076.48	312.72	580.2
ENSMUST00000080300	54533.58	13391.25	27023.56
ENSMUST00000024739	507.17	674.79	585.01
ENSMUST00000074267	6241.86	3637.69	4765.08
ENSMUST00000067664	1535.11	1801.04	1662.76
ENSMUST00000000756	NA	NA	NA
ENSMUST00000035105	NA	NA	NA
ENSMUST00000085282	NA	NA	NA
ENSMUST00000008826	NA	NA	NA
ENSMUST00000005051	1017.01	960.57	988.39
ENSMUST00000008812	NA	NA	NA
ENSMUST00000004072	190.59	130.32	157.6
ENSMUST00000077856	NA	NA	NA
ENSMUST00000033683	NA	NA	NA
ENSMUST00000080813	NA	NA	NA
ENSMUST00000027123	1266.41	NA	1266.41
ENSMUST00000102589	3244.03	3565.46	3400.95
ENSMUST00000030454	1746.41	1985.33	1862.04
ENSMUST00000084434	NA	NA	NA
ENSMUST00000081840	368.82	156.64	240.36
ENSMUST00000006496	541.19	417.07	475.09
ENSMUST00000080511	NA	NA	NA
ENSMUST00000085546	NA	NA	NA
ENSMUST00000038169	237.56	199.08	217.47
