ID	transcription	translation
ENSMUST00000073261	NA	NA
ENSMUST00000073009	NA	NA
ENSMUST00000031564	182.3	1895.55
ENSMUST00000018246	NA	NA
ENSMUST00000075558	NA	NA
ENSMUST00000078766	1.13	224528.75
ENSMUST00000042235	196.89	319.13
ENSMUST00000001046	118.28	375.96
ENSMUST00000089377	172.73	277.1
ENSMUST00000040914	0.86	147337.15
ENSMUST00000034756	42.27	1034.12
ENSMUST00000021220	10.14	3234.07
ENSMUST00000070195	50.51	956.61
ENSMUST00000015800	27.03	NA
ENSMUST00000018437	44.6	864.81
ENSMUST00000001566	28.39	2019.85
ENSMUST00000076155	11.64	NA
ENSMUST00000036004	NA	NA
ENSMUST00000072503	24.37	1027.75
ENSMUST00000025511	22.71	867.99
ENSMUST00000071781	NA	NA
ENSMUST00000073926	NA	NA
ENSMUST00000034834	59.42	452.05
ENSMUST00000060240	0.62	29040.14
ENSMUST00000043419	33.22	1280.13
ENSMUST00000097014	NA	NA
ENSMUST00000031383	10.76	2549.02
ENSMUST00000022894	6.06	6288.32
ENSMUST00000103009	37.74	580.2
ENSMUST00000080300	2.72	27023.56
ENSMUST00000024739	52.09	585.01
ENSMUST00000074267	4.51	4765.08
ENSMUST00000067664	15.02	1662.76
ENSMUST00000000756	NA	NA
ENSMUST00000035105	NA	NA
ENSMUST00000085282	50.76	NA
ENSMUST00000008826	NA	NA
ENSMUST00000005051	19.69	988.39
ENSMUST00000008812	NA	NA
ENSMUST00000004072	102.56	157.6
ENSMUST00000077856	NA	NA
ENSMUST00000033683	160.43	NA
ENSMUST00000080813	NA	NA
ENSMUST00000027123	24.26	1266.41
ENSMUST00000102589	19.17	3400.95
ENSMUST00000030454	12.04	1862.04
ENSMUST00000084434	NA	NA
ENSMUST00000081840	54.46	240.36
ENSMUST00000006496	38.84	475.09
ENSMUST00000080511	NA	NA
ENSMUST00000085546	NA	NA
ENSMUST00000038169	52.14	217.47
ENSMUST00000073471	54.62	305.6
ENSMUST00000029699	13.91	1277.63
ENSMUST00000080861	NA	NA
ENSMUST00000094154	22.86	1100.35
ENSMUST00000090792	2.43	NA
ENSMUST00000032998	15.25	913.95
ENSMUST00000079428	NA	NA
ENSMUST00000031617	11.93	2021.13
ENSMUST00000103191	NA	NA
ENSMUST00000058437	54.17	NA
ENSMUST00000001051	70.31	174.93
ENSMUST00000016463	19.34	879.24
ENSMUST00000019323	12.17	1279.71
ENSMUST00000106588	1.14	27988.42
ENSMUST00000017548	NA	NA
ENSMUST00000029722	18.25	819.79
ENSMUST00000086519	51.8	273.94
ENSMUST00000075641	71.28	365.46
ENSMUST00000061609	35.08	NA
ENSMUST00000011896	2.49	NA
ENSMUST00000081593	16.26	NA
ENSMUST00000042334	NA	NA
ENSMUST00000051955	NA	NA
ENSMUST00000086535	0.86	25219.48
ENSMUST00000022388	11.33	1401.43
ENSMUST00000103146	8.25	2171.49
ENSMUST00000074642	NA	NA
ENSMUST00000080492	NA	NA
ENSMUST00000051978	45.31	305.97
ENSMUST00000077915	2.45	9115.92
ENSMUST00000052248	10.37	1361.26
ENSMUST00000004554	52.9	277.09
ENSMUST00000085049	NA	NA
ENSMUST00000025561	15.46	2089.54
ENSMUST00000076708	29.99	398.41
ENSMUST00000087566	18.18	716.54
ENSMUST00000023707	20.26	470.46
ENSMUST00000078981	NA	NA
ENSMUST00000021217	29.82	414.31
ENSMUST00000047864	42.85	309.23
ENSMUST00000028222	19.76	685.65
ENSMUST00000048156	3.35	4447.73
ENSMUST00000039631	10.13	2195.48
ENSMUST00000030185	NA	NA
ENSMUST00000009039	55.68	333.96
ENSMUST00000055808	11.3	1958.05
ENSMUST00000024846	6.79	3091.49
ENSMUST00000026420	NA	NA
ENSMUST00000055770	NA	NA
ENSMUST00000001204	NA	NA
ENSMUST00000043703	NA	NA
ENSMUST00000032597	NA	NA
ENSMUST00000102669	23.74	406.32
ENSMUST00000057885	NA	NA
ENSMUST00000035983	NA	NA
ENSMUST00000074669	12.98	1292.98
ENSMUST00000111228	18.13	1096.48
ENSMUST00000053298	3.42	5415.02
ENSMUST00000082223	NA	NA
ENSMUST00000067936	NA	NA
ENSMUST00000074521	3.19	4569.02
ENSMUST00000050737	NA	NA
ENSMUST00000029266	9.84	1245.11
ENSMUST00000061242	8.02	1941.76
ENSMUST00000102980	4.9	NA
ENSMUST00000034966	34.91	336.88
ENSMUST00000068408	42.71	164.94
ENSMUST00000040607	6.44	1280.49
ENSMUST00000054289	NA	NA
ENSMUST00000080850	14.8	1007.68
ENSMUST00000043269	18.09	1100.23
ENSMUST00000002551	4.38	2766.39
ENSMUST00000059802	NA	NA
ENSMUST00000102814	NA	NA
ENSMUST00000028683	7.85	1232.02
ENSMUST00000034947	10.85	1229.35
ENSMUST00000028817	17.97	840.78
ENSMUST00000026122	NA	NA
ENSMUST00000008036	78.33	105.35
ENSMUST00000026050	12.43	661.81
ENSMUST00000081650	NA	NA
ENSMUST00000043074	NA	NA
ENSMUST00000054220	0.97	6465.83
ENSMUST00000045897	43.03	NA
ENSMUST00000114881	10.9	NA
ENSMUST00000026459	23.23	459.47
ENSMUST00000077037	NA	NA
ENSMUST00000023269	NA	NA
ENSMUST00000018186	9.89	809.89
ENSMUST00000062601	NA	NA
ENSMUST00000117399	10.58	837.33
ENSMUST00000042898	22.16	421.15
ENSMUST00000079419	0.61	20242.96
ENSMUST00000025542	13.83	830.32
ENSMUST00000014370	7.17	1646.87
ENSMUST00000016771	24.71	445.11
ENSMUST00000075242	8.86	1331.66
ENSMUST00000031402	12.75	871.38
ENSMUST00000024223	8.94	819.6
ENSMUST00000031447	8.63	1299.17
ENSMUST00000020640	43.72	232.54
