tracking_id	class_code	nearest_ref_id	gene_id	gene_short_name	tss_id	locus	length	coverage	FPKM	FPKM_conf_lo	FPKM_conf_hi	FPKM_status
gene1	-	-	gene1	LOC100757647	-	NW_003613580.1:690690-691138	448	0	0	0	0	OK
gene0	-	-	gene0	LOC100754456	-	NW_003613580.1:387940-388591	651	0	0	0	0	OK
rna7	-	-	gene6	Itih2	-	NW_003613580.1:2087447-2123023	2841	0	0	0	0	OK
rna6	-	-	gene5	Kin	-	NW_003613580.1:2073912-2085202	1179	4.84618	6.07889	4.45485	7.70293	OK
gene8	-	-	gene8	LOC100754742	-	NW_003613580.1:2314031-2325726	1179	0.992429	1.24487	0.494186	1.99556	OK
gene11	-	-	gene11	LOC100755035	-	NW_003613580.1:2852800-2853430	630	0	0	0	0	OK
rna4	-	-	gene4	LOC100760824	-	NW_003613580.1:2053759-2073799	1173	235.376	295.248	277.372	313.125	OK
rna5	-	-	gene4	LOC100760824	-	NW_003613580.1:2056605-2073799	1008	46.4932	58.3196	49.912	66.7272	OK
rna3	-	-	gene3	Taf3	-	NW_003613580.1:1890885-2042119	4827	7.84316	9.83822	8.82931	10.8471	OK
rna0	-	-	gene2	Gata3	-	NW_003613580.1:1834570-1855181	2815	0	0	0	0.106757	OK
rna1	-	-	gene2	Gata3	-	NW_003613580.1:1834570-1855181	2818	2.62968	3.29858	2.42323	4.17394	OK
rna2	-	-	gene2	Gata3	-	NW_003613580.1:1835889-1855181	1491	0	0	0	0.244603	OK
rna16	-	-	gene12	Prkcq	-	NW_003613580.1:3070832-3148598	2824	0.141852	0.177935	0	0.385169	OK
rna15	-	-	gene12	Prkcq	-	NW_003613580.1:3070832-3148598	3013	0	0	0	0.084165	OK
rna22	-	-	gene16	Il2ra	-	NW_003613580.1:3476705-3512272	879	0	0	0	0	OK
gene15	-	-	gene15	LOC100764500	-	NW_003613580.1:3445003-3446126	1123	0	0	0	0	OK
rna21	-	-	gene14	Rbm17	-	NW_003613580.1:3420881-3442295	1712	57.1725	71.7153	66.9993	76.4314	OK
rna23	-	-	gene17	Il15ra	-	NW_003613580.1:3528537-3556500	1343	3.3725	4.23035	2.88473	5.57598	OK
rna8	-	-	gene7	Itih5	-	NW_003613580.1:2143946-2242481	5949	27.6361	34.6658	32.9681	36.3635	OK
rna33	-	-	gene22	Asb13	-	NW_003613580.1:3768022-3788181	1695	4.48803	5.62964	4.17543	7.08385	OK
rna34	-	-	gene23	Calml3	-	NW_003613580.1:3924479-3924929	450	0	0	0	0	OK
rna35	-	-	gene24	Calml5	-	NW_003613580.1:3955473-3955920	447	0	0	0	0	OK
rna36	-	-	gene24	Calml5	-	NW_003613580.1:3955473-3955920	408	0	0	0	0	OK
rna25	-	-	gene18	Fbxo18	-	NW_003613580.1:3576522-3611310	3235	21.8121	27.3604	24.8826	29.8381	OK
rna24	-	-	gene18	Fbxo18	-	NW_003613580.1:3576522-3611483	3380	3.95952	4.9667	3.77985	6.15354	OK
rna26	-	-	gene19	Ankrd16	-	NW_003613580.1:3611787-3622541	1958	0	0	0	0.148889	OK
rna27	-	-	gene19	Ankrd16	-	NW_003613580.1:3611791-3622812	2047	0.399612	0.501261	0.000933149	1.00159	OK
rna28	-	-	gene19	Ankrd16	-	NW_003613580.1:3611798-3622812	2191	1.13658	1.42568	0.702333	2.14904	OK
rna29	-	-	gene19	Ankrd16	-	NW_003613580.1:3611804-3622812	2113	0.224135	0.281148	0	0.691443	OK
rna40	-	-	gene26	Tubal3	-	NW_003613580.1:4022396-4031656	1743	0	0	0	0	OK
rna41	-	-	gene27	Ucn3	-	NW_003613580.1:4035574-4036063	489	0	0	0	0	OK
rna42	-	-	gene28	LOC100768090	-	NW_003613580.1:4168007-4184938	982	0	0	0	0	OK
rna43	-	-	gene29	LOC100768376	-	NW_003613580.1:4191247-4209732	1084	0	0	0	0	OK
rna44	-	-	gene30	LOC100768666	-	NW_003613580.1:4227165-4243716	1132	0	0	0	0	OK
rna46	-	-	gene32	LOC100769236	-	NW_003613580.1:4303054-4323029	1341	0.0733329	0.0919865	0	0.27596	OK
rna45	-	-	gene31	LOC100768959	-	NW_003613580.1:4275890-4294869	1551	0.0661056	0.0829208	0	0.248762	OK
rna47	-	-	gene33	LOC100769523	-	NW_003613580.1:4335419-4348793	972	0	0	0	0	OK
gene34	-	-	gene34	LOC100769807	-	NW_003613580.1:4372387-4389409	966	0	0	0	0	OK
gene35	-	-	gene35	LOC100756193	-	NW_003613580.1:4395665-4399425	589	0	0	0	0	OK
rna48	-	-	gene36	LOC100770100	-	NW_003613580.1:4425762-4443295	1019	0	0	0	0	OK
rna49	-	-	gene37	LOC100770388	-	NW_003613580.1:4488184-4517582	972	0	0	0	0	OK
gene38	-	-	gene38	LOC100756485	-	NW_003613580.1:4518706-4526455	602	0	0	0	0	OK
gene40	-	-	gene40	LOC100756782	-	NW_003613580.1:4950226-4950679	453	0	0	0	0	OK
rna52	-	-	gene41	LOC103160728	-	NW_003613580.1:5535581-5537226	1273	0.271901	0.341064	0	0.734891	OK
rna53	-	-	gene42	LOC103160850	-	NW_003613580.1:5582785-5583546	551	0	0	0	0	OK
rna51	-	-	gene39	Akr1e2	-	NW_003613580.1:4550409-4564398	1248	0	0	0	0.235024	OK
rna50	-	-	gene39	Akr1e2	-	NW_003613580.1:4550409-4564535	1266	17.3368	21.7467	18.4199	25.0736	OK
rna55	-	-	gene44	LOC103161316	-	NW_003613580.1:5828429-5835146	274	0	0	0	0	OK
rna54	-	-	gene43	Klf6	-	NW_003613580.1:5598057-5605326	2609	43.6491	54.752	51.3135	58.1906	OK
rna58	-	-	gene46	Pfkp	-	NW_003613580.1:6298275-6362233	2739	4.57683	5.74103	4.69575	6.78631	OK
gene47	-	-	gene47	LOC100758510	-	NW_003613580.1:6914006-6916200	1678	3.1275	3.92303	2.79816	5.04791	OK
gene48	-	-	gene48	LOC100758799	-	NW_003613580.1:7442033-7449638	948	0.953844	1.19647	0.292024	2.10092	OK
gene49	-	-	gene49	LOC103163576	-	NW_003613580.1:7556053-7556602	549	0	0	0	0	OK
rna59	-	-	gene50	LOC103161772	-	NW_003613580.1:7937553-7939094	245	0	0	0	0	OK
rna60	-	-	gene51	Adarb2	-	NW_003613580.1:7951874-8148851	2220	0	0	0	0	OK
rna39	-	-	gene25	Net1	-	NW_003613580.1:3981598-3992353	3304	40.1643	50.3808	46.5781	54.1836	OK
rna37	-	-	gene25	Net1	-	NW_003613580.1:3981598-4017101	3421	0	0	0	0.0780536	OK
