Only identified by site	Reverse	Contaminant	Histones	PEP	Intensity	Razor + unique peptides	Mol. weight [kDa]	Sequence length	Copy number Intensity	Concentration [nM] Intensity	Protein IDs	Majority protein IDs	Proteins
#!{Type}C	C	C	C	N	N	N	N	N	N	N	T	T	T
				0	322130000000	30	49349	451	13371682.9459343	35.526719954282	Anti-HER2_Heavy1;Anti-HER2_Heavy2;Herceptin_VH-CH1;cds29930;cds28358;cds31349;cds24393	Anti-HER2_Heavy1;Anti-HER2_Heavy2;Herceptin_VH-CH1	7
				0	196620000000	23	23443	214	17180973.136602	45.6474793512579	Anti-HER2_Light1;Anti-HER2_Light2;Herceptin_L-KAPPA;trastuzumab_KAPPA	Anti-HER2_Light1;Anti-HER2_Light2;Herceptin_L-KAPPA;trastuzumab_KAPPA	4
				0	9434900000	19	119950	1135	161127.73557477	0.428094201887503	cds10002;cds10000;cds9996;cds10001;cds9999;cds9995;cds10005;cds9998;cds9997;cds9994;cds9993;cds9992;cds10004;cds10003	cds10002;cds10000;cds9996;cds10001;cds9999;cds9995;cds10005;cds9998;cds9997;cds9994;cds9993;cds9992;cds10004;cds10003	14
				2.9934E-156	36894000	2	33149	284	2279.91452992706	0.00605741890171311	cds10009	cds10009	1
				0	39169000000	26	29062	248	2760897.22428911	7.3353236766429	cds10012;cds10015	cds10012	2
				0	49569000	2	28938	248	3508.93157823943	0.00932274793104878	cds10013;cds10014;cds29497	cds10013;cds10014	3
				5.5469E-36	5923100000	6	9461	84	1282464.27794504	3.4073309573779	cds10017;cds16757;cds2077;cds8937;cds10535;cds3093;cds8642;cds6761;cds26691;cds16748	cds10017;cds16757;cds2077;cds8937;cds10535;cds3093;cds8642;cds6761;cds26691	10
				4.4608E-15	316860000	3	22851	203	28405.0437248049	0.0754682890538556	cds10019;cds10018;cds10021;cds10020	cds10019;cds10018;cds10021	4
				1.0547E-115	2319600000	11	65320	593	72744.5025850111	0.19327212453366	cds10035	cds10035	1
				4.9758E-296	3090800000	16	117940	1041	53683.773422114	0.14263039231247	cds10037	cds10037	1
				0	22254000000	24	43062	390	1058637.17770279	2.81265317892346	cds10039	cds10039	1
				5.1537E-46	373560000	4	26629	249	28736.8237030676	0.0763497827612548	cds10043;cds10042;cds10041	cds10043;cds10042;cds10041	3
				8.2272E-26	646500000	5	12315	107	107539.3402132	0.285717215945826	cds10048	cds10048	1
				1.0766E-63	1315800000	3	11848	101	227498.266172223	0.604431560714109	cds10055;cds10056	cds10055;cds10056	2
				3.2939E-16	1570700000	4	14029	122	229350.548496625	0.609352819741963	cds10058;cds10057;cds10059;cds10060;cds10061	cds10058;cds10057;cds10059;cds10060;cds10061	5
				1.2056E-68	4760500000	9	10051	89	970234.137404425	2.57777847627863	cds10062	cds10062	1
				8.4189E-25	186570000	6	42469	385	8999.18191816427	0.0239095869320975	cds10079	cds10079	1
				0	288750000000	37	83165	724	7112375.14539474	18.8966011998559	cds10080	cds10080	1
				4.1062E-12	345910000	3	50353	458	14072.4923502507	0.0373886740216304	cds10084;cds10085;cds10086;cds10083;cds10082;cds10081;cds10087	cds10084;cds10085;cds10086;cds10083;cds10082;cds10081;cds10087	7
				1.0846E-48	435300000	7	16010	145	55696.8443541461	0.147978844525971	cds10090;cds10091	cds10090;cds10091	2
				6.8816E-14	27592000	2	87785	788	643.866934205423	0.00171066576674205	cds101	cds101	1
				9.3364E-251	6186600000	13	59825	529	211837.374188177	0.562822727629965	cds10118;cds10119	cds10118;cds10119	2
				2.757E-12	144250000	5	264740	2428	1116.16785745785	0.00296550427154219	cds10128	cds10128	1
				5.7752E-18	121230000	2	118530	1107	2095.14977846994	0.00556652440406609	cds10134	cds10134	1
				1.0292E-74	1183200000	12	47450	423	51080.506952661	0.135713871841519	cds10135;cds10136	cds10135;cds10136	2
				3.1788E-55	694480000	10	62003	541	22944.5896259219	0.0609606145615278	cds1014	cds1014	1
				9.2814E-22	1677900000	10	256140	2231	13419.0547071399	0.0356525801994656	cds10146	cds10146	1
				2.4811E-125	3594300000	13	34339	304	214417.354685522	0.569677380480119	cds10148	cds10148	1
				2.5768E-195	461980000	9	98599	896	9598.07012852877	0.0255007504243496	cds10150;cds10149	cds10150;cds10149	2
				0	4181300000	35	167430	1488	51157.734748125	0.135919055457764	cds10152;cds10153;cds10151	cds10152;cds10153;cds10151	3
				1.4328E-08	41737000	2	12966	112	6593.99277044535	0.017519330624527	cds10159	cds10159	1
				1.609E-112	1737400000	9	48812	437	72913.2520912881	0.193720468730585	cds10162	cds10162	1
				2.6093E-51	60299000	2	40933	361	3017.65640597702	0.00801749745988313	cds10163	cds10163	1
				1.4732E-175	2700000000	9	41415	368	133548.604121432	0.354820247989054	cds10183;cds14249	cds10183	2
				4.044E-138	1618600000	6	99431	887	33346.5557193796	0.0885972058470376	cds10184;cds10185	cds10184;cds10185	2
				4.4697E-05	70578000	2	49918	442	2896.31254444236	0.00769510353203251	cds10186;cds10187	cds10186;cds10187	2
				4.2763E-144	2404100000	15	146200	1471	33685.1441671901	0.0894967887203195	cds10189	cds10189	1
				1.4537E-130	4327000000	8	17995	166	492570.38699093	1.30869167831413	cds10193	cds10193	1
				7.6212E-157	1823700000	18	117260	1037	31859.3391303942	0.0846458761990135	cds10194	cds10194	1
				0	3010400000	14	47528	440	129750.165513663	0.344728319753291	cds10197	cds10197	1
				4.795E-157	1941400000	18	89143	792	44612.9595128778	0.118530489045707	cds10199;cds10201;cds10202;cds10200	cds10199;cds10201;cds10202;cds10200	4
				2.8115E-116	864790000	16	152930	1372	11583.8046530336	0.0307765735679938	cds102;cds103	cds102;cds103	2
				1.3873E-82	216540000	3	116000	1022	3823.96050226782	0.0101597363944089	cds10211;cds10210;cds10207;cds10209;cds10208;cds10206	cds10211;cds10210;cds10207;cds10209;cds10208;cds10206	6
				0	1932500000	11	101500	906	39001.9853574137	0.103622903493621	cds10212	cds10212	1
				1.4601E-51	828070000	6	13299	119	127550.251568438	0.338883451386942	cds10213	cds10213	1
				0	15292000000	33	85946	766	364478.466253686	0.968369086547782	cds10214	cds10214	1
				2.0381E-32	385590000	10	76980	697	10260.7973422136	0.027261525356111	cds10224;cds10225	cds10224;cds10225	2
				2.7395E-73	1621500000	9	29777	272	111549.920899127	0.2963727764657	cds10233	cds10233	1
				4.1193E-98	1124100000	10	57283	508	40198.7406628593	0.106802517515452	cds10237;cds10236	cds10237;cds10236	2
				0	22399000000	22	69850	666	656894.270439814	1.74527760490937	cds10240	cds10240	1
				0	56652000000	8	50434	452	2301044.86750758	6.11355929846031	cds10249;cds10248;cds10247	cds10249;cds10248;cds10247	3
				2.2306E-154	2569300000	5	33650	307	156409.455056885	0.415558380383028	cds10250	cds10250	1
				4.9526E-178	917820000	10	68672	604	27378.5898444537	0.0727411424635073	cds10255;cds10256;cds10257;cds10258	cds10255;cds10256;cds10257;cds10258	4
				1.4238E-271	5247300000	13	54704	475	196494.349297233	0.52205842363352	cds10268	cds10268	1
				8.0479E-11	354440000	3	37501	347	19361.2384503664	0.0514401440099494	cds10270	cds10270	1
				1.4258E-14	231140000	3	37280	335	12700.8404340501	0.0337443837928953	cds10278;cds10279;cds10280	cds10278;cds10279;cds10280	3
				0	20219000000	25	73418	649	564144.524428233	1.49885430384044	cds10282;cds10283;cds10284;cds10285	cds10282;cds10283;cds10284;cds10285	4
				2.3045E-103	1870400000	8	24914	219	153788.651307082	0.408595265773533	cds10305;cds21384	cds10305;cds21384	2
				3.5451E-14	58788000	2	93592	848	1286.71751332198	0.00341863121799186	cds10312;cds10313	cds10312;cds10313	2
				1.8964E-21	802680000	6	61705	540	26647.430606978	0.0707985530694264	cds10322;cds25265	cds10322	2
				2.0908E-09	38389000	2	219070	1956	358.969165638289	0.000953731633588528	cds10328;cds10326;cds10327	cds10328;cds10326;cds10327	3
				0	15413000000	24	52978	456	595970.652191954	1.58341194201229	cds10329	cds10329	1
				5.0863E-87	1796700000	12	81873	732	44953.9769158713	0.119436525318379	cds10333;cds10334;cds10335	cds10333;cds10334;cds10335	3
				6.8261E-126	716840000	16	324890	2940	4519.79920700995	0.0120084839975847	cds10336;cds10341;cds10346;cds10338;cds10337;cds10342;cds10339;cds10340;cds10343;cds10344;cds10345	cds10336;cds10341;cds10346;cds10338;cds10337;cds10342;cds10339;cds10340;cds10343;cds10344;cds10345	11
				6.5057E-30	11997000000	4	17624	155	1394445.12806506	3.70484865343321	cds1034	cds1034	1
