gene_name	cds	rna	gene_ID
A1cf	19065	21467	ENSMUST00000075838
A3galt2	8590	9662	ENSMUST00000030585
A3galt2	8590	9662	ENSMUST00000106077
A4galt	19852	22368	ENSMUST00000164614
A4galt	19852	22368	ENSMUST00000049530
A4gnt	11328	12792	ENSMUST00000042553
Aaas	18560	20912	ENSMUST00000041208
Aaas	18559	20911	ENSMUST00000041208
Aacs	21316	23998	ENSMUST00000144361
Aacs	21316	23998	ENSMUST00000199978
Aacs	21316	23998	ENSMUST00000031445
Aacs	21316	23998	ENSMUST00000131355
Aacs	21316	23998	ENSMUST00000200286
Aacs	21316	23998	ENSMUST00000196556
Aagab	8371	9434	ENSMUST00000041551
Aak1	19766	22243	ENSMUST00000113668
Aak1	19766	22243	ENSMUST00000156885
Aak1	19766	22243	ENSMUST00000089519
Aak1	19766	22243	ENSMUST00000003710
Aak1	19775	22252	ENSMUST00000113668
Aak1	19775	22252	ENSMUST00000156885
Aak1	19775	22252	ENSMUST00000089519
Aak1	19775	22252	ENSMUST00000003710
Aak1	19771	22248	ENSMUST00000113668
Aak1	19771	22248	ENSMUST00000156885
Aak1	19771	22248	ENSMUST00000089519
Aak1	19771	22248	ENSMUST00000003710
Aak1	19769	22246	ENSMUST00000113668
Aak1	19769	22246	ENSMUST00000156885
Aak1	19769	22246	ENSMUST00000089519
Aak1	19769	22246	ENSMUST00000003710
Aak1	19773	22250	ENSMUST00000113668
Aak1	19773	22250	ENSMUST00000156885
Aak1	19773	22250	ENSMUST00000089519
Aak1	19773	22250	ENSMUST00000003710
Aak1	19768	22245	ENSMUST00000113668
Aak1	19768	22245	ENSMUST00000156885
Aak1	19768	22245	ENSMUST00000089519
Aak1	19768	22245	ENSMUST00000003710
Aak1	19774	22251	ENSMUST00000113668
Aak1	19774	22251	ENSMUST00000156885
Aak1	19774	22251	ENSMUST00000089519
Aak1	19774	22251	ENSMUST00000003710
Aak1	19770	22247	ENSMUST00000113668
Aak1	19770	22247	ENSMUST00000156885
Aak1	19770	22247	ENSMUST00000089519
Aak1	19770	22247	ENSMUST00000003710
Aak1	19772	22249	ENSMUST00000113668
Aak1	19772	22249	ENSMUST00000156885
Aak1	19772	22249	ENSMUST00000089519
Aak1	19772	22249	ENSMUST00000003710
Aak1	19767	22244	ENSMUST00000113668
Aak1	19767	22244	ENSMUST00000156885
Aak1	19767	22244	ENSMUST00000089519
Aak1	19767	22244	ENSMUST00000003710
Aamdc	23471	26330	ENSMUST00000140805
Aamdc	23471	26330	ENSMUST00000135998
Aamdc	23471	26330	ENSMUST00000138060
Aamdc	23471	26330	ENSMUST00000042627
Aamdc	23471	26330	ENSMUST00000072725
Aamdc	23471	26330	ENSMUST00000178078
Aamdc	23471	26330	ENSMUST00000126085
Aamdc	23471	26330	ENSMUST00000124552
Aamdc	23471	26330	ENSMUST00000146605
Aamdc	23471	26330	ENSMUST00000136757
Aamdc	23471	26330	ENSMUST00000144858
Aamdc	23471	26330	ENSMUST00000154779
Aamdc	23471	26330	ENSMUST00000151840
Aamdc	23471	26330	ENSMUST00000154853
Aamdc	23470	26332	ENSMUST00000140805
Aamdc	23470	26332	ENSMUST00000135998
Aamdc	23470	26332	ENSMUST00000138060
Aamdc	23470	26332	ENSMUST00000042627
Aamdc	23470	26332	ENSMUST00000072725
Aamdc	23470	26332	ENSMUST00000178078
Aamdc	23470	26332	ENSMUST00000126085
Aamdc	23470	26332	ENSMUST00000124552
Aamdc	23470	26332	ENSMUST00000146605
