rna	cds	GeneID	Name	gene_name	description	protein_id	protein_family._internal	protein_copy_number	FPKM	kdp	hl	beta	beta.var
4	4	GeneID:100760824,Genbank:XP_003494971.1	XP_003494971.1	LOC100760824	ATP synthase subunit gamma%2C mitochondrial isoform X1	XP_003494971.1	3234	1068179.40023831	295248	0.0106489287439476	65.0907896208715	0.0246711303428787	6.11363574382511e-13
8	8	GeneID:100761693,Genbank:XP_003494974.2	XP_003494974.2	Itih5	inter-alpha-trypsin inhibitor heavy chain H5 isoform X1	XP_003494974.2	3887	15067.1182039298	34.6658	0.0633113372633353	10.9482315572784	0.0773335388622664	5.30708207806223e-11
21	20	GeneID:100764203,Genbank:XP_003494985.1	XP_003494985.1	Rbm17	splicing factor 45	XP_003494985.1	1520	56557.3461145356	71.7153	0.0211346050093851	32.7967889748658	0.0351568066083163	6.80957951530113e-13
30	28	GeneID:100765873,Genbank:XP_003494990.1	XP_003494990.1	Gdi2	rab GDP dissociation inhibitor beta	XP_003494990.1	2678	3517716.81139877	158528	0.0119120396896125	58.1887903852754	0.0259342412885437	2.33816267257624e-13
50	48	GeneID:100750439,Genbank:XP_007616485.1	XP_007616485.1	Akr1e2	1%2C5-anhydro-D-fructose reductase isoform X1	XP_007616485.1	3365	37229.6190001766	21.7467	0.0340604456793348	20.3505023711564	0.0480826472782659	5.76619238741136e-11
58	53	GeneID:100751501,Genbank:XP_003494956.1	XP_003494956.1	Pfkp	6-phosphofructokinase type C	XP_003494956.1	3449	19243.8898016582	5.74103	0.0210414002600543	32.9420652614949	0.0350636018589855	0
67	61	GeneID:100753267,Genbank:XP_003494961.1	XP_003494961.1	Gtpbp4	nucleolar GTP-binding protein 1	XP_003494961.1	3575	156286.804523246	25.5537	0.0378032240093577	18.3356631272604	0.0518254256082889	2.97121684460226e-11
69	63	GeneID:100753870,Genbank:XP_003494962.1	XP_003494962.1	Larp4b	la-related protein 4B	XP_003494962.1	3617	14360.637984572	15.2547	0.0304938721150478	22.7307039901272	0.0445160737139789	1.00556136651214e-10
71	65	GeneID:100770668,Genbank:XP_003495006.1	XP_003495006.1	Lbr	lamin-B receptor	XP_003495006.1	3651	245281.531605456	80.1253	0.0142558140003796	48.6220696020225	0.0282780155993107	3.37847104299972e-12
72	66	GeneID:100752970,Genbank:XP_007641997.1	XP_007641997.1	Enah	protein enabled homolog isoform X1	XP_007641997.1	3665	17242.1093610814	20.7354	0.0236836574043791	29.2668977905323	0.0377058590033102	2.57185122810126e-12
76	70	GeneID:100770953,Genbank:XP_003495007.2	XP_003495007.2	Tp53bp2	apoptosis-stimulating of p53 protein 2 isoform X1	XP_003495007.2	3735	1341.78026117915	5.09016	0.0314972401710692	22.0066004765907	0.0455194417700003	1.18052201244354e-08
89	83	GeneID:100772686,Genbank:XP_003495014.1	XP_003495014.1	Brox	BRO1 domain-containing protein BROX isoform X1	XP_003495014.1	3936	66035.183401041	33.4346	0.0244377737575123	28.3637612590168	0.0384599753564434	3.47830674732219e-12
93	87	GeneID:100755615,Genbank:XP_007640053.1	XP_007640053.1	Mia3	melanoma inhibitory activity protein 3 isoform X1	XP_007640053.1	3984	25725.4839591885	17628	0.015608709411742	44.4077189391783	0.0296309110106731	2.09797787660316e-14
106	99	GeneID:100756783,Genbank:XP_003495040.1	XP_003495040.1	Mar-01	mitochondrial amidoxime-reducing component 1 isoform X1	XP_003495040.1	4195	13477.0150855579	19224	0.0263381125582952	26.3172685220239	0.0403603141572263	1.28247686215896e-10
110	102	GeneID:100757933,Genbank:XP_003495044.1	XP_003495044.1	Rab3gap2	rab3 GTPase-activating protein non-catalytic subunit isoform X1	XP_003495044.1	42	11583.8046530336	7.76346	0.0207709693156431	33.370959728775	0.0347931709145742	5.08547669700508e-12
123	107	GeneID:100774047,Genbank:XP_003495018.1	XP_003495018.1	Bpnt1	3'(2')%2C5'-bisphosphate nucleotidase 1 isoform X2	XP_003495018.1	131	26397.9292426932	13.5572	0.0207926319126134	33.336192525943	0.0348148335115445	1.01510602352514e-10
124	108	GeneID:100774338,Genbank:XP_007642504.1	XP_007642504.1	Eprs	bifunctional glutamate/proline--tRNA ligase isoform X1	XP_007642504.1	150	610258.955510072	69.3759	0.0141771843138707	48.8917379653296	0.0281993859128018	6.44251751678628e-15
130	114	GeneID:100750619,Genbank:XP_003495023.1	XP_003495023.1	Rrp15	RRP15-like protein	XP_003495023.1	236	13374.3068958529	73.4092	0.0230623155123844	30.0554027277845	0.0370845171113155	7.61045966994482e-09
