"","cds","rna","GeneID","Name","gene_name","description","protein_id"
"mapping_line","0","0","GeneID:100760238,Genbank:XP_007605693.1","XP_007605693.1","Gata3","trans-acting T-cell-specific transcription factor GATA-3 isoform X1","XP_007605693.1"
"mapping_line","1","1","GeneID:100760238,Genbank:XP_003494969.1","XP_003494969.1","Gata3","trans-acting T-cell-specific transcription factor GATA-3 isoform X3","XP_003494969.1"
"mapping_line","2","2","GeneID:100760238,Genbank:XP_007611044.1","XP_007611044.1","Gata3","trans-acting T-cell-specific transcription factor GATA-3 isoform X2","XP_007611044.1"
"mapping_line","3","3","GeneID:100760532,Genbank:XP_003494970.1","XP_003494970.1","Taf3","transcription initiation factor TFIID subunit 3 isoform X1","XP_003494970.1"
"mapping_line","4","4","GeneID:100760824,Genbank:XP_003494971.1","XP_003494971.1","LOC100760824","ATP synthase subunit gamma%2C mitochondrial isoform X1","XP_003494971.1"
"mapping_line","5","5","GeneID:100760824,Genbank:XP_007635981.1","XP_007635981.1","LOC100760824","ATP synthase subunit gamma%2C mitochondrial isoform X2","XP_007635981.1"
"mapping_line","6","6","GeneID:100761113,Genbank:NP_001278594.1","NP_001278594.1","Kin","antigenic determinant of rec-A protein","NP_001278594.1"
"mapping_line","7","7","GeneID:100761405,Genbank:XP_003494973.1","XP_003494973.1","Itih2","inter-alpha-trypsin inhibitor heavy chain H2","XP_003494973.1"
"mapping_line","8","8","GeneID:100761693,Genbank:XP_003494974.2","XP_003494974.2","Itih5","inter-alpha-trypsin inhibitor heavy chain H5 isoform X1","XP_003494974.2"
"mapping_line","9","10","GeneID:100761982,Genbank:XP_007639850.1","XP_007639850.1","Sfmbt2","scm-like with four MBT domains protein 2 isoform X1","XP_007639850.1"
"mapping_line","10","12","GeneID:100761982,Genbank:XP_007640212.1","XP_007640212.1","Sfmbt2","scm-like with four MBT domains protein 2 isoform X1","XP_007640212.1"
